               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11151,            0.068296,            0.041723,            0.014265,             0.62543,             0.12725,            0.031419,            0.094972,            0.045418,            0.036575,              0.0919,              0.0009,              0.0009
                   1,            0.083844,            0.080214,            0.030296,              0.1835,             0.39664,              0.2401,            0.082687,            0.076858,            0.043966,            0.022966,            0.082853,            0.001853,            0.001853
                   2,             0.06573,            0.062753,            0.021327,             0.61286,             0.47047,             0.52445,              0.2814,            0.067041,            0.047489,            0.018723,            0.073756,           0.0027564,           0.0027564
                   3,            0.055601,            0.055691,            0.016036,             0.28842,             0.68768,             0.52714,             0.24803,             0.06803,            0.032562,            0.013543,             0.06461,           0.0036104,           0.0036104
                   4,            0.054076,            0.052179,            0.014626,             0.74755,             0.39638,             0.49185,              0.1814,            0.072798,             0.02737,            0.009771,            0.055415,           0.0044149,           0.0044149
                   5,            0.054492,            0.046013,            0.011236,             0.35188,             0.78507,             0.60784,             0.34876,            0.064906,            0.024125,           0.0091713,             0.04617,           0.0051699,           0.0051699
                   6,            0.056641,            0.044167,            0.010877,             0.66773,             0.50287,             0.55705,             0.27473,            0.067436,              0.0221,           0.0086769,            0.036875,           0.0058753,           0.0058753
                   7,            0.056134,            0.043618,           0.0098238,             0.31688,             0.75438,             0.59197,             0.33387,            0.064634,            0.020644,           0.0080555,            0.027531,           0.0065313,           0.0065313
                   8,            0.053902,            0.041234,            0.010293,             0.38964,             0.82534,             0.70246,             0.35967,            0.058515,             0.01967,           0.0075783,            0.018138,           0.0071378,           0.0071378
                   9,            0.055269,            0.043244,           0.0091948,             0.46469,             0.78645,             0.69755,             0.35217,            0.060862,            0.019602,           0.0070061,           0.0086948,           0.0076948,           0.0076948
                  10,            0.048788,             0.04084,           0.0083032,             0.49297,              0.7741,             0.71346,             0.43297,            0.056949,            0.021005,           0.0065895,            0.007525,            0.007525,            0.007525
                  11,            0.047704,            0.041294,           0.0076934,             0.63095,             0.80388,              0.8601,             0.47408,            0.054555,             0.02225,           0.0058743,            0.007525,            0.007525,            0.007525
